date,window,R_t,turnover
2012-10-23,2012,-0.006968905679650155,0.43208699623859426
2012-10-24,2012,-0.001741582987936141,0.2549400626332137
2012-10-25,2012,0.002359050454206803,0.39520818580607703
2012-10-26,2012,-0.00019172187163320366,0.3633905335050488
2012-10-31,2012,0.0009731772455990534,0.35788671020093965
2012-11-01,2012,0.0062496785344304156,0.4080890392940404
2012-11-02,2012,-0.008016677306369258,0.3698096482050329
2012-11-05,2012,0.0010254287176961906,0.3520801524533409
2012-11-06,2012,0.007596381835717964,0.38285822394968266
2012-11-07,2012,-0.015346092867926703,0.684045971608731
2012-11-08,2012,-0.008331233053669864,0.4527925093471025
2012-11-09,2012,1.8279350774392272e-05,0.32525505329324955
2012-11-12,2012,0.0007418916938492601,0.46494297246077193
2012-11-13,2012,-0.0011682160015324343,0.6254733093631328
2012-11-14,2012,-0.011284989865884446,0.5889850860850421
2012-11-15,2012,-0.000699760634891153,0.6984668993290346
2012-11-16,2012,0.003711504515633543,0.71507267751868
2012-11-19,2012,0.014280325935157897,0.35727456579978656
2012-11-20,2012,0.0004689924378378134,0.7576350315669899
2012-11-21,2012,0.0005461073375903318,0.36660053693560624
2012-11-23,2012,0.007762659751102452,0.5720848188206082
2012-11-26,2012,-0.0005261833295345365,0.3856420877270607
2012-11-27,2012,-0.0026464625607091246,0.2768732600722118
2012-11-28,2012,0.0038772505195555544,0.3637307313991858
2012-11-29,2012,0.003472209641737425,0.6958834696409291
2012-11-30,2012,0.0007485458003574431,0.650520592254012
2012-12-03,2012,-0.003984990443782063,0.4287185443060877
2012-12-04,2012,-0.0016582952021089305,0.86379303938327
2012-12-05,2012,0.002379315197879086,0.7165136478037403
2012-12-06,2012,0.0015188446047327245,0.578578390135307
2012-12-07,2012,0.002347183975037996,0.48890184648887774
2012-12-10,2012,0.0003283081791919418,0.2903975050189372
2012-12-11,2012,0.004769553886634543,0.5053224165460287
2012-12-12,2012,0.00040385606450685913,0.3648495374906494
2012-12-13,2012,-0.004809010692148105,0.5277192275715142
2012-12-14,2012,-0.00336291146392214,0.44149741569937007
2012-12-17,2012,0.008320208290266624,0.6285788971212222
2012-12-18,2012,0.00699691266603335,0.5047284205865201
2012-12-19,2012,-0.004992889339781029,0.5713063434564057
2012-12-20,2012,0.005277833620026635,0.3266106931506401
2012-12-21,2012,-0.006527737942073564,0.3663145811927591
2012-12-24,2012,-0.0025164241626364357,0.29205118038308486
2012-12-26,2012,-0.00307933567597592,0.45596230119939946
2012-12-27,2012,-0.001716607897375734,0.9110928096091943
2012-12-28,2012,-0.010400837503633093,0.40050563028023134
2012-12-31,2012,0.010511354243359031,0.7300589365183461
2013-01-02,2012,0.025228399135994034,0.8724233639644566
2013-01-03,2013,-0.0010566187499999999,1.953045434951782
2013-01-04,2013,0.0008960767457164662,1.6985370049490194
2013-01-07,2013,-0.004159981797723235,1.4278980656264264
2013-01-08,2013,-6.27348594811278e-05,1.6529383052809412
2013-01-09,2013,0.0006066891393588715,0.5050895083994615
2013-01-10,2013,0.004913266895570755,0.957395270869515
2013-01-11,2013,-6.118387581544573e-06,0.5982108210013795
2013-01-14,2013,0.00016697407324185623,0.4892664417858
2013-01-15,2013,0.001238779497242781,0.5547322955670879
2013-01-16,2013,-0.0007995689080315012,0.4735741407547495
2013-01-17,2013,0.0034123810707707967,0.86799836220078
2013-01-18,2013,0.005201770308138431,1.0311441255626033
2013-01-22,2013,0.0032844593820312053,0.8710055903769189
2013-01-23,2013,-0.00040922650891261165,0.5925978930748549
2013-01-24,2013,0.0009609525357773685,0.7460713785786834
2013-01-25,2013,0.0016171531974152544,0.5171130055553743
2013-01-28,2013,-0.00020652354139619766,0.355843368075054
2013-01-29,2013,0.004645154010471297,1.2650242155437645
2013-01-30,2013,-0.001689027641796205,0.7680235333333785
2013-01-31,2013,-0.0006232802408608058,0.2530031332288011
2013-02-01,2013,0.0014474201419629744,0.2688295370583528
2013-02-04,2013,-0.007619451350674618,1.2253727018991951
2013-02-05,2013,0.0016584066844610198,1.174734109965157
2013-02-06,2013,0.0008062504338195879,1.326355877719654
2013-02-07,2013,7.098754139745236e-07,1.6847209845476943
2013-02-08,2013,0.005793856946678629,1.7451621886026547
2013-02-11,2013,-3.657692017029789e-05,1.5447093394922522
2013-02-12,2013,0.0004407076866603911,0.6460660447211141
2013-02-13,2013,0.0003046184523316681,0.47517052655897196
2013-02-14,2013,0.00171655222932528,1.401961410438285
2013-02-15,2013,-0.001773059225834418,0.6531997675508242
2013-02-19,2013,0.001966634824520444,0.6177466912393976
2013-02-20,2013,-0.004888760652733346,0.3120157914959199
2013-02-21,2013,-0.003291089521417466,0.4906687598746564
2013-02-22,2013,0.005517143335682094,0.5702396993308261
2013-02-25,2013,-0.0014655532693622186,0.9563934689630477
2013-02-26,2013,0.004956335527659935,1.264656544983795
2013-02-27,2013,0.012172168671051854,0.5012295789828138
2013-02-28,2013,-3.5588555294659286e-05,1.3261282514984218
2013-03-01,2013,0.0011629165853137727,1.3735577909244843
2013-03-04,2013,0.0025195461143081316,0.8180483890795134
2013-03-05,2013,0.005131641513696812,0.44876011154414286
2013-03-06,2013,0.000408725772339964,0.533833749019738
2013-03-07,2013,0.001811660425891958,1.074820241905162
2013-03-08,2013,0.000741542629416812,1.382928665757682
2013-03-11,2013,0.0005020431564059822,0.13516303949098052
2013-03-12,2013,-0.0008380774209394138,1.3995112568239325
2013-03-13,2013,0.0005236177106678981,0.9930230203447439
2013-03-14,2013,0.0019837845109696023,0.31036625856681055
2013-03-15,2013,-0.0009579846174040556,0.7207389902519743
2013-03-18,2013,-0.0011940218611306628,0.9413540682053452
2013-03-19,2013,-0.0025071937929086645,0.913284198064923
2013-03-20,2013,0.0036058677365418657,0.6809774439380794
2013-03-21,2013,-0.003503070831339263,0.4835576341682614
2013-03-22,2013,0.00040235731963785747,0.6688678430863175
2013-03-25,2013,-0.0025601123975740126,1.1771331777607599
2013-03-26,2013,0.0028188660782017226,0.571205981945557
2013-03-27,2013,6.470137219861594e-05,0.19248160659920333
2013-03-28,2013,0.0018871925907898578,0.41514292714996337
